AtomicNumber,Element,IconUnicode,IconKey,IconKeyExplanation
61,Pm,🔍,Magnifying Glass,Promethium is used in luminous paint, where it's applied to watches, clocks, and instruments to be read in the dark.
62,Sm,🧪,Test Tube,Samarium is used in cancer treatment and in certain nuclear reactors.
63,Eu,💡,Light Bulb,Europium is used in fluorescent light bulbs.
64,Gd,💉,Syringe,Gadolinium is used as a contrast agent in MRI scanning.
65,Tb,🖥️,Monitor,Terbium is used in color television tubes and fluorescent lamps.
66,Dy,🧲,Magnet,Dysprosium is crucial for the production of hard drive disks and high-performance magnets.
67,Ho,🌡️,Thermometer,Holmium is used in a variety of electronic equipment and has magnetic properties.
68,Er,📡,Satellite Dish,Erbium is used in the telecommunications industry, especially in fiber-optic communications.
69,Tm,🦷,Tooth,Thulium is used in portable X-ray machines and is also found in some dental equipment.
70,Yb,💰,Money Bag,Ytterbium can be used to help improve the grain refinement, strength, and other mechanical properties of stainless steel.
71,Lu,🔬,Microscope,Lutetium is used in various research applications and in petroleum refining.
72,Hf,🔥,Fire,Hafnium is used in equipment that operates at high temperatures.
73,Ta,📱,Mobile Phone,Tantalum is used in the manufacturing of electronic components, particularly in capacitors for mobile phones.
74,W,💡,Light Bulb,Tungsten (often referred to as "Wolfram") is used in light bulb filaments.
75,Re,✈️,Airplane,Rhenium is used in jet engines.
76,Os,💍,Ring,Osmium, one of the densest elements, is used in fountain pen tips and electrical contacts, and historically in phonograph needles. It forms strong alloys with platinum used in jewelry.
77,Ir,🖋️,Fountain Pen,Iridium is used in fountain pen tips.
78,Pt,💍,Ring,Platinum is often used in jewelry due to its resistance to corrosion.
79,Au,🏅,Medal,Gold (Au) is used in jewelry, coins, and medals.
80,Hg,🌡️,Thermometer,Mercury is famously known for its use in thermometers.
81,Tl,🔋,Battery,Thallium was historically used in rat poisons and insecticides, and is now used in some types of batteries.
82,Pb,🪜,Ladder,Lead is used in batteries, weights, and was historically used in paints and pipes.
83,Bi,💄,Lipstick,Bismuth compounds are used in cosmetics, particularly in lipstick.
84,Po,☢️,Radioactive,Polonium is a highly radioactive element.
85,At,⚗️,Alembic,Astatine is a rare, radioactive element with very few uses, represented by the alembic (a symbol for alchemy and research).
86,Rn,🏠,House,Radon is a radioactive gas known for its presence in homes and its health risks.
87,Fr,🔥,Fire,Francium is a highly reactive metal.
88,Ra,💡,Light Bulb,Radium was historically used in luminous paint for watch dials.
89,Ac,🌡️,Thermometer,Actinium glows faintly in the dark due to its radioactivity and was named after the Greek word for 'ray'.
90,Th,☢️,Radioactive,Thorium is a naturally occurring radioactive metal that has been considered as an alternative nuclear fuel.
91,Pa,📚,Book,Protactinium was first identified in 1913 by Kasimir Fajans and Oswald Helmuth Göhring and was named after the Greek word 'proto', meaning 'first', to highlight its position in the periodic table.
92,U,☢️,Radioactive,Uranium is a heavy metal used as fuel in nuclear power plants.
93,Np,🌍,Earth,Neptunium was the first synthetic transuranium element of the actinide series, named after the planet Neptune.
94,Pu,💥,Explosion,Plutonium is used in nuclear weapons and reactors.
95,Am,🔋,Battery,Americium is used in smoke detectors and some types of batteries.
96,Cm,🔬,Microscope,Curium is used in research and has been used in space missions as a heat source.
97,Bk,📚,Book,Berkelium was named after the city of Berkeley, California.
98,Cf,🌌,Milky Way,Californium is used in neutron moisture gauges and as a neutron source.
99,Es,🎉,Tada (Confetti),Einsteinium was named after the physicist Albert Einstein.
100,Fm,📻,Radio,Fermium was named after physicist Enrico Fermi, and the radio represents Fermi's contributions to the development of the first nuclear reactor.
101,Md,🩺,Stethoscope,Mendelevium is named after the "father" of the periodic table, Dmitri Mendeleev, and the stethoscope represents the scientific contribution.
102,No,🚫,No Entry,Nobelium is named after Alfred Nobel, who is known for the Nobel Prizes (and dynamite). The "No Entry" sign is a play on the element's symbol "No".
103,Lr,🔦,Flashlight,Lawrencium is named after the Lawrence Berkeley National Laboratory; the flashlight represents exploration and discovery.

104,Rf,🌪️,Tornado,Rutherfordium is named after Ernest Rutherford, known for his model of the atom; the tornado represents the dynamic nature of atoms.
105,Db,🎸,Guitar,Dubnium's naming was controversial between Russian and American scientists. The guitar represents a rock-n-roll (or 'rocky') journey.
106,Sg,🎤,Microphone,Seaborgium is named after Glenn T. Seaborg, a great scientist and communicator; hence, the microphone.
107,Bh,🌉,Bridge,Bohrium is named after Niels Bohr; the bridge symbolizes the Bohr model's impact in bridging classical and quantum physics.
108,Hs,🏞️,Landscape,Hassium is named after the German state of Hesse. The landscape icon represents regions or states.
109,Mt,🏔️,Mountain,Meitnerium is named after Lise Meitner. The mountain represents the peaks of scientific discovery.
110,Ds,🎭,Theatre Masks,Darmstadtium is named after the city of Darmstadt. The theatre masks represent the city's cultural significance.
111,Rg,🌈,Rainbow,Roentgenium is named after Wilhelm Conrad Röntgen, the discoverer of X-rays. The rainbow represents the spectrum of X-rays.
112,Cn,🖌️,Paintbrush,Copernicium is named after Nicolaus Copernicus. The paintbrush symbolizes the Renaissance period and the art of discovery.
113,Nh,🍣,Sushi,Nihonium is named after Japan (Nihon in Japanese). Sushi is a well-known Japanese dish.
114,Fl,🔌,Plug,Flerovium is named after the Flerov Laboratory of Nuclear Reactions. The plug symbolizes the element's connection to nuclear science.
115,Mc,🌌,Galaxy,Moscovium is named after the Moscow region. The galaxy represents the vastness of scientific exploration.
116,Lv,🌋,Volcano,Livermorium is named after Lawrence Livermore National Laboratory. The volcano represents explosive discoveries.
117,Ts,🌪️,Cyclone,Tennessine is named after the state of Tennessee, known for its scientific contributions. The cyclone represents dynamic and transformative research.
118,Og,🎈,Balloon,Oganesson is named after Yuri Oganessian. Being a noble gas, the balloon symbolizes elements that are typically unreactive and light.

